Date,Season
37922,2003
37923,2003
37924,2003
37925,2003
37926,2003
37927,2003
37928,2003
37929,2003
37930,2003
37931,2003
37932,2003
37933,2003
37934,2003
37935,2003
37936,2003
37937,2003
37938,2003
37939,2003
37940,2003
37941,2003
37942,2003
37943,2003
37944,2003
37945,2003
37946,2003
37947,2003
37948,2003
37949,2003
37950,2003
37951,2003
37952,2003
37953,2003
37954,2003
37955,2003
37956,2003
37957,2003
37958,2003
37959,2003
37960,2003
37961,2003
37962,2003
37963,2003
37964,2003
37965,2003
37966,2003
37967,2003
37968,2003
37969,2003
37970,2003
37971,2003
37972,2003
37973,2003
37974,2003
37975,2003
37976,2003
37977,2003
37978,2003
37980,2003
37981,2003
37982,2003
37983,2003
37984,2003
37985,2003
37986,2003
37988,2003
37989,2003
37990,2003
37991,2003
37992,2003
37993,2003
37994,2003
37995,2003
37996,2003
37997,2003
37998,2003
37999,2003
38000,2003
38001,2003
38002,2003
38003,2003
38004,2003
38005,2003
38006,2003
38007,2003
38008,2003
38009,2003
38010,2003
38011,2003
38012,2003
38013,2003
38014,2003
38015,2003
38016,2003
38017,2003
38018,2003
38019,2003
38020,2003
38021,2003
38022,2003
38023,2003
38024,2003
38025,2003
38026,2003
38027,2003
38028,2003
38029,2003
38034,2003
38035,2003
38036,2003
38037,2003
38038,2003
38039,2003
38040,2003
38041,2003
38042,2003
38043,2003
38044,2003
38045,2003
38046,2003
38047,2003
38048,2003
38049,2003
38050,2003
38051,2003
38052,2003
38053,2003
38054,2003
38055,2003
38056,2003
38057,2003
38058,2003
38059,2003
38060,2003
38061,2003
38062,2003
38063,2003
38064,2003
38065,2003
38066,2003
38067,2003
38068,2003
38069,2003
38070,2003
38071,2003
38072,2003
38073,2003
38074,2003
38075,2003
38076,2003
38077,2003
38078,2003
38079,2003
38080,2003
38081,2003
38082,2003
38083,2003
38084,2003
38085,2003
38086,2003
38087,2003
38088,2003
38089,2003
38090,2003
38091,2003
38293,2004
38294,2004
38295,2004
38296,2004
38297,2004
38298,2004
38299,2004
38300,2004
38301,2004
38302,2004
38303,2004
38304,2004
38305,2004
38306,2004
38307,2004
38308,2004
38309,2004
38310,2004
38311,2004
38312,2004
38313,2004
38314,2004
38315,2004
38316,2004
38317,2004
38318,2004
38319,2004
38320,2004
38321,2004
38322,2004
38323,2004
38324,2004
38325,2004
38326,2004
38327,2004
38328,2004
38329,2004
38330,2004
38331,2004
38332,2004
38333,2004
38334,2004
38335,2004
38336,2004
38337,2004
38338,2004
38339,2004
38340,2004
38341,2004
38342,2004
38343,2004
38344,2004
38346,2004
38347,2004
38348,2004
38349,2004
38350,2004
38351,2004
38352,2004
38353,2004
38354,2004
38355,2004
38356,2004
38357,2004
38358,2004
38359,2004
38360,2004
38361,2004
38362,2004
38363,2004
38364,2004
38365,2004
38366,2004
38367,2004
38368,2004
38369,2004
38370,2004
38371,2004
38372,2004
38373,2004
38374,2004
38375,2004
38376,2004
38377,2004
38378,2004
38379,2004
38380,2004
38381,2004
38382,2004
38383,2004
38384,2004
38385,2004
38386,2004
38387,2004
38388,2004
38389,2004
38390,2004
38391,2004
38392,2004
38393,2004
38394,2004
38395,2004
38396,2004
38397,2004
38398,2004
38399,2004
38400,2004
38405,2004
38406,2004
38407,2004
38408,2004
38409,2004
38410,2004
38411,2004
38412,2004
38413,2004
38414,2004
38415,2004
38416,2004
38417,2004
38418,2004
38419,2004
38420,2004
38421,2004
38422,2004
38423,2004
38424,2004
38425,2004
38426,2004
38427,2004
38428,2004
38429,2004
38430,2004
38431,2004
38432,2004
38433,2004
38434,2004
38435,2004
38436,2004
38437,2004
38438,2004
38439,2004
38440,2004
38441,2004
38442,2004
38443,2004
38444,2004
38445,2004
38447,2004
38448,2004
38449,2004
38450,2004
38451,2004
38452,2004
38453,2004
38454,2004
38455,2004
38456,2004
38457,2004
38458,2004
38459,2004
38460,2004
38461,2004
38462,2004
38657,2005
38658,2005
38659,2005
38660,2005
38661,2005
38662,2005
38663,2005
38664,2005
38665,2005
38666,2005
38667,2005
38668,2005
38669,2005
38670,2005
38671,2005
38672,2005
38673,2005
38674,2005
38675,2005
38676,2005
38677,2005
38678,2005
38679,2005
38680,2005
38681,2005
38682,2005
38683,2005
38684,2005
38685,2005
38686,2005
38687,2005
38688,2005
38689,2005
38690,2005
38691,2005
38692,2005
38693,2005
38694,2005
38695,2005
38696,2005
38697,2005
38698,2005
38699,2005
38700,2005
38701,2005
38702,2005
38703,2005
38704,2005
38705,2005
38706,2005
38707,2005
38708,2005
38709,2005
38711,2005
38712,2005
38713,2005
38714,2005
38715,2005
38716,2005
38717,2005
38718,2005
38719,2005
38720,2005
38721,2005
38722,2005
38723,2005
38724,2005
38725,2005
38726,2005
38727,2005
38728,2005
38729,2005
38730,2005
38731,2005
38732,2005
38733,2005
38734,2005
38735,2005
38736,2005
38737,2005
38738,2005
38739,2005
38740,2005
38741,2005
38742,2005
38743,2005
38744,2005
38745,2005
38746,2005
38747,2005
38748,2005
38749,2005
38750,2005
38751,2005
38752,2005
38753,2005
38754,2005
38755,2005
38756,2005
38757,2005
38758,2005
38759,2005
38760,2005
38761,2005
38762,2005
38763,2005
38764,2005
38769,2005
38770,2005
38771,2005
38772,2005
38773,2005
38774,2005
38775,2005
38776,2005
38777,2005
38778,2005
38779,2005
38780,2005
38781,2005
38782,2005
38783,2005
38784,2005
38785,2005
38786,2005
38787,2005
38788,2005
38789,2005
38790,2005
38791,2005
38792,2005
38793,2005
38794,2005
38795,2005
38796,2005
38797,2005
38798,2005
38799,2005
38800,2005
38801,2005
38802,2005
38803,2005
38804,2005
38805,2005
38806,2005
38807,2005
38808,2005
38809,2005
38811,2005
38812,2005
38813,2005
38814,2005
38815,2005
38816,2005
38817,2005
38818,2005
38819,2005
38820,2005
38821,2005
38822,2005
38823,2005
38824,2005
38825,2005
38826,2005
39021,2006
39022,2006
39023,2006
39024,2006
39025,2006
39026,2006
39027,2006
39028,2006
39029,2006
39030,2006
39031,2006
39032,2006
39033,2006
39034,2006
39035,2006
39036,2006
39037,2006
39038,2006
39039,2006
39040,2006
39041,2006
39042,2006
39043,2006
39045,2006
39046,2006
39047,2006
39048,2006
39049,2006
39050,2006
39051,2006
39052,2006
39053,2006
39054,2006
39055,2006
39056,2006
39057,2006
39058,2006
39059,2006
39060,2006
39061,2006
39062,2006
39063,2006
39064,2006
39065,2006
39066,2006
39067,2006
39068,2006
39069,2006
39070,2006
39071,2006
39072,2006
39073,2006
39074,2006
39076,2006
39077,2006
39078,2006
39079,2006
39080,2006
39081,2006
39082,2006
39083,2006
39084,2006
39085,2006
39086,2006
39087,2006
39088,2006
39089,2006
39090,2006
39091,2006
39092,2006
39093,2006
39094,2006
39095,2006
39096,2006
39097,2006
39098,2006
39099,2006
39100,2006
39101,2006
39102,2006
39103,2006
39104,2006
39105,2006
39106,2006
39107,2006
39108,2006
39109,2006
39110,2006
39111,2006
39112,2006
39113,2006
39114,2006
39115,2006
39116,2006
39117,2006
39118,2006
39119,2006
39120,2006
39121,2006
39122,2006
39123,2006
39124,2006
39125,2006
39126,2006
39127,2006
39128,2006
39133,2006
39134,2006
39135,2006
39136,2006
39137,2006
39138,2006
39139,2006
39140,2006
39141,2006
39142,2006
39143,2006
39144,2006
39145,2006
39146,2006
39147,2006
39148,2006
39149,2006
39150,2006
39151,2006
39152,2006
39153,2006
39154,2006
39155,2006
39156,2006
39157,2006
39158,2006
39159,2006
39160,2006
39161,2006
39162,2006
39163,2006
39164,2006
39165,2006
39166,2006
39167,2006
39168,2006
39169,2006
39170,2006
39171,2006
39172,2006
39173,2006
39175,2006
39176,2006
39177,2006
39178,2006
39179,2006
39180,2006
39181,2006
39182,2006
39183,2006
39184,2006
39185,2006
39186,2006
39187,2006
39188,2006
39189,2006
39190,2006
39385,2007
39386,2007
39387,2007
39388,2007
39389,2007
39390,2007
39391,2007
39392,2007
39393,2007
39394,2007
39395,2007
39396,2007
39397,2007
39398,2007
39399,2007
39400,2007
39401,2007
39402,2007
39403,2007
39404,2007
39405,2007
39406,2007
39407,2007
39409,2007
39410,2007
39411,2007
39412,2007
39413,2007
39414,2007
39415,2007
39416,2007
39417,2007
39418,2007
39419,2007
39420,2007
39421,2007
39422,2007
39423,2007
39424,2007
39425,2007
39426,2007
39427,2007
39428,2007
39429,2007
39430,2007
39431,2007
39432,2007
39433,2007
39434,2007
39435,2007
39436,2007
39437,2007
39438,2007
39439,2007
39441,2007
39442,2007
39443,2007
39444,2007
39445,2007
39446,2007
39447,2007
39449,2007
39450,2007
39451,2007
39452,2007
39453,2007
39454,2007
39455,2007
39456,2007
39457,2007
39458,2007
39459,2007
39460,2007
39461,2007
39462,2007
39463,2007
39464,2007
39465,2007
39466,2007
39467,2007
39468,2007
39469,2007
39470,2007
39471,2007
39472,2007
39473,2007
39474,2007
39475,2007
39476,2007
39477,2007
39478,2007
39479,2007
39480,2007
39481,2007
39482,2007
39483,2007
39484,2007
39485,2007
39486,2007
39487,2007
39488,2007
39489,2007
39490,2007
39491,2007
39492,2007
39497,2007
39498,2007
39499,2007
39500,2007
39501,2007
39502,2007
39503,2007
39504,2007
39505,2007
39506,2007
39507,2007
39508,2007
39509,2007
39510,2007
39511,2007
39512,2007
39513,2007
39514,2007
39515,2007
39516,2007
39517,2007
39518,2007
39519,2007
39520,2007
39521,2007
39522,2007
39523,2007
39524,2007
39525,2007
39526,2007
39527,2007
39528,2007
39529,2007
39530,2007
39531,2007
39532,2007
39533,2007
39534,2007
39535,2007
39536,2007
39537,2007
39538,2007
39539,2007
39540,2007
39541,2007
39542,2007
39543,2007
39544,2007
39546,2007
39547,2007
39548,2007
39549,2007
39550,2007
39551,2007
39552,2007
39553,2007
39554,2007
39749,2008
39750,2008
39751,2008
39752,2008
39753,2008
39754,2008
39755,2008
39756,2008
39757,2008
39758,2008
39759,2008
39760,2008
39761,2008
39762,2008
39763,2008
39764,2008
39765,2008
39766,2008
39767,2008
39768,2008
39769,2008
39770,2008
39771,2008
39772,2008
39773,2008
39774,2008
39775,2008
39776,2008
39777,2008
39778,2008
39779,2008
39780,2008
39781,2008
39782,2008
39783,2008
39784,2008
39785,2008
39786,2008
39787,2008
39788,2008
39789,2008
39790,2008
39791,2008
39792,2008
39793,2008
39794,2008
39795,2008
39796,2008
39797,2008
39798,2008
39799,2008
39800,2008
39801,2008
39802,2008
39803,2008
39804,2008
39805,2008
39807,2008
39808,2008
39809,2008
39810,2008
39811,2008
39812,2008
39813,2008
39815,2008
39816,2008
39817,2008
39818,2008
39819,2008
39820,2008
39821,2008
39822,2008
39823,2008
39824,2008
39825,2008
39826,2008
39827,2008
39828,2008
39829,2008
39830,2008
39831,2008
39832,2008
39833,2008
39834,2008
39835,2008
39836,2008
39837,2008
39838,2008
39839,2008
39840,2008
39841,2008
39842,2008
39843,2008
39844,2008
39845,2008
39846,2008
39847,2008
39848,2008
39849,2008
39850,2008
39851,2008
39852,2008
39853,2008
39854,2008
39855,2008
39856,2008
39861,2008
39862,2008
39863,2008
39864,2008
39865,2008
39866,2008
39867,2008
39868,2008
39869,2008
39870,2008
39871,2008
39872,2008
39873,2008
39874,2008
39875,2008
39876,2008
39877,2008
39878,2008
39879,2008
39880,2008
39881,2008
39882,2008
39883,2008
39884,2008
39885,2008
39886,2008
39887,2008
39888,2008
39889,2008
39890,2008
39891,2008
39892,2008
39893,2008
39894,2008
39895,2008
39896,2008
39897,2008
39898,2008
39899,2008
39900,2008
39901,2008
39902,2008
39903,2008
39904,2008
39905,2008
39906,2008
39907,2008
39908,2008
39910,2008
39911,2008
39912,2008
39913,2008
39914,2008
39915,2008
39916,2008
39917,2008
39918,2008
40113,2009
40114,2009
40115,2009
40116,2009
40117,2009
40118,2009
40119,2009
40120,2009
40121,2009
40122,2009
40123,2009
40124,2009
40125,2009
40126,2009
40127,2009
40128,2009
40129,2009
40130,2009
40131,2009
40132,2009
40133,2009
40134,2009
40135,2009
40136,2009
40137,2009
40138,2009
40139,2009
40140,2009
40141,2009
40142,2009
40143,2009
40144,2009
40145,2009
40146,2009
40147,2009
40148,2009
40149,2009
40150,2009
40151,2009
40152,2009
40153,2009
40154,2009
40155,2009
40156,2009
40157,2009
40158,2009
40159,2009
40160,2009
40161,2009
40162,2009
40163,2009
40164,2009
40165,2009
40166,2009
40167,2009
40168,2009
40169,2009
40170,2009
40172,2009
40173,2009
40174,2009
40175,2009
40176,2009
40177,2009
40178,2009
40179,2009
40180,2009
40181,2009
40182,2009
40183,2009
40184,2009
40185,2009
40186,2009
40187,2009
40188,2009
40189,2009
40190,2009
40191,2009
40192,2009
40193,2009
40194,2009
40195,2009
40196,2009
40197,2009
40198,2009
40199,2009
40200,2009
40201,2009
40202,2009
40203,2009
40204,2009
40205,2009
40206,2009
40207,2009
40208,2009
40209,2009
40210,2009
40211,2009
40212,2009
40213,2009
40214,2009
40215,2009
40216,2009
40217,2009
40218,2009
40219,2009
40220,2009
40225,2009
40226,2009
40227,2009
40228,2009
40229,2009
40230,2009
40231,2009
40232,2009
40233,2009
40234,2009
40235,2009
40236,2009
40237,2009
40238,2009
40239,2009
40240,2009
40241,2009
40242,2009
40243,2009
40244,2009
40245,2009
40246,2009
40247,2009
40248,2009
40249,2009
40250,2009
40251,2009
40252,2009
40253,2009
40254,2009
40255,2009
40256,2009
40257,2009
40258,2009
40259,2009
40260,2009
40261,2009
40262,2009
40263,2009
40264,2009
40265,2009
40266,2009
40267,2009
40268,2009
40269,2009
40270,2009
40271,2009
40272,2009
40274,2009
40275,2009
40276,2009
40277,2009
40278,2009
40279,2009
40280,2009
40281,2009
40282,2009
40477,2010
40478,2010
40479,2010
40480,2010
40481,2010
40482,2010
40483,2010
40484,2010
40485,2010
40486,2010
40487,2010
40488,2010
40489,2010
40490,2010
40491,2010
40492,2010
40493,2010
40494,2010
40495,2010
40496,2010
40497,2010
40498,2010
40499,2010
40500,2010
40501,2010
40502,2010
40503,2010
40504,2010
40505,2010
40506,2010
40507,2010
40508,2010
40509,2010
40510,2010
40511,2010
40512,2010
40513,2010
40514,2010
40515,2010
40516,2010
40517,2010
40518,2010
40519,2010
40520,2010
40521,2010
40522,2010
40523,2010
40524,2010
40525,2010
40526,2010
40527,2010
40528,2010
40529,2010
40530,2010
40531,2010
40532,2010
40533,2010
40534,2010
40535,2010
40537,2010
40538,2010
40539,2010
40540,2010
40541,2010
40542,2010
40543,2010
40544,2010
40545,2010
40546,2010
40547,2010
40548,2010
40549,2010
40550,2010
40551,2010
40552,2010
40553,2010
40554,2010
40555,2010
40556,2010
40557,2010
40558,2010
40559,2010
40560,2010
40561,2010
40562,2010
40563,2010
40564,2010
40565,2010
40566,2010
40567,2010
40568,2010
40569,2010
40570,2010
40571,2010
40572,2010
40573,2010
40574,2010
40575,2010
40576,2010
40577,2010
40578,2010
40579,2010
40580,2010
40581,2010
40582,2010
40583,2010
40584,2010
40585,2010
40586,2010
40587,2010
40588,2010
40589,2010
40590,2010
40591,2010
40596,2010
40597,2010
40598,2010
40599,2010
40600,2010
40601,2010
40602,2010
40603,2010
40604,2010
40605,2010
40606,2010
40607,2010
40608,2010
40609,2010
40610,2010
40611,2010
40612,2010
40613,2010
40614,2010
40615,2010
40616,2010
40617,2010
40618,2010
40619,2010
40620,2010
40621,2010
40622,2010
40623,2010
40624,2010
40625,2010
40626,2010
40627,2010
40628,2010
40629,2010
40630,2010
40631,2010
40632,2010
40633,2010
40634,2010
40635,2010
40636,2010
40638,2010
40639,2010
40640,2010
40641,2010
40642,2010
40643,2010
40644,2010
40645,2010
40646,2010
40902,2011
40903,2011
40904,2011
40905,2011
40906,2011
40907,2011
40908,2011
40909,2011
40910,2011
40911,2011
40912,2011
40913,2011
40914,2011
40915,2011
40916,2011
40917,2011
40918,2011
40919,2011
40920,2011
40921,2011
40922,2011
40923,2011
40924,2011
40925,2011
40926,2011
40927,2011
40928,2011
40929,2011
40930,2011
40931,2011
40932,2011
40933,2011
40934,2011
40935,2011
40936,2011
40937,2011
40938,2011
40939,2011
40940,2011
40941,2011
40942,2011
40943,2011
40944,2011
40945,2011
40946,2011
40947,2011
40948,2011
40949,2011
40950,2011
40951,2011
40952,2011
40953,2011
40954,2011
40955,2011
40956,2011
40957,2011
40958,2011
40959,2011
40960,2011
40961,2011
40962,2011
40967,2011
40968,2011
40969,2011
40970,2011
40971,2011
40972,2011
40973,2011
40974,2011
40975,2011
40976,2011
40977,2011
40978,2011
40979,2011
40980,2011
40981,2011
40982,2011
40983,2011
40984,2011
40985,2011
40986,2011
40987,2011
40988,2011
40989,2011
40990,2011
40991,2011
40992,2011
40993,2011
40994,2011
40995,2011
40996,2011
40997,2011
40998,2011
40999,2011
41000,2011
41001,2011
41002,2011
41003,2011
41004,2011
41005,2011
41006,2011
41007,2011
41008,2011
41009,2011
41010,2011
41011,2011
41012,2011
41013,2011
41014,2011
41015,2011
41016,2011
41017,2011
41018,2011
41019,2011
41020,2011
41021,2011
41022,2011
41023,2011
41024,2011
41025,2011
41212,2012
41213,2012
41214,2012
41215,2012
41216,2012
41217,2012
41218,2012
41219,2012
41220,2012
41221,2012
41222,2012
41223,2012
41224,2012
41225,2012
41226,2012
41227,2012
41228,2012
41229,2012
41230,2012
41231,2012
41232,2012
41233,2012
41234,2012
41236,2012
41237,2012
41238,2012
41239,2012
41240,2012
41241,2012
41242,2012
41243,2012
41244,2012
41245,2012
41246,2012
41247,2012
41248,2012
41249,2012
41250,2012
41251,2012
41252,2012
41253,2012
41254,2012
41255,2012
41256,2012
41257,2012
41258,2012
41259,2012
41260,2012
41261,2012
41262,2012
41263,2012
41264,2012
41265,2012
41266,2012
41268,2012
41269,2012
41270,2012
41271,2012
41272,2012
41273,2012
41274,2012
41275,2012
41276,2012
41277,2012
41278,2012
41279,2012
41280,2012
41281,2012
41282,2012
41283,2012
41284,2012
41285,2012
41286,2012
41287,2012
41288,2012
41289,2012
41290,2012
41291,2012
41292,2012
41293,2012
41294,2012
41295,2012
41296,2012
41297,2012
41298,2012
41299,2012
41300,2012
41301,2012
41302,2012
41303,2012
41304,2012
41305,2012
41306,2012
41307,2012
41308,2012
41309,2012
41310,2012
41311,2012
41312,2012
41313,2012
41314,2012
41315,2012
41316,2012
41317,2012
41318,2012
41319,2012
41324,2012
41325,2012
41326,2012
41327,2012
41328,2012
41329,2012
41330,2012
41331,2012
41332,2012
41333,2012
41334,2012
41335,2012
41336,2012
41337,2012
41338,2012
41339,2012
41340,2012
41341,2012
41342,2012
41343,2012
41344,2012
41345,2012
41346,2012
41347,2012
41348,2012
41349,2012
41350,2012
41351,2012
41352,2012
41353,2012
41354,2012
41355,2012
41356,2012
41357,2012
41358,2012
41359,2012
41360,2012
41361,2012
41362,2012
41363,2012
41364,2012
41365,2012
41366,2012
41367,2012
41368,2012
41369,2012
41370,2012
41371,2012
41373,2012
41374,2012
41375,2012
41376,2012
41377,2012
41378,2012
41379,2012
41380,2012
41381,2012
41576,2013
41577,2013
41578,2013
41579,2013
41580,2013
41581,2013
41582,2013
41583,2013
41584,2013
41585,2013
41586,2013
41587,2013
41588,2013
41589,2013
41590,2013
41591,2013
41592,2013
41593,2013
41594,2013
41595,2013
41596,2013
41597,2013
41598,2013
41599,2013
41600,2013
41601,2013
41602,2013
41603,2013
41604,2013
41605,2013
41607,2013
41608,2013
41609,2013
41610,2013
41611,2013
41612,2013
41613,2013
41614,2013
41615,2013
41616,2013
41617,2013
41618,2013
41619,2013
41620,2013
41621,2013
41622,2013
41623,2013
41624,2013
41625,2013
41626,2013
41627,2013
41628,2013
41629,2013
41630,2013
41631,2013
41633,2013
41634,2013
41635,2013
41636,2013
41637,2013
41638,2013
41639,2013
41640,2013
41641,2013
41642,2013
41643,2013
41644,2013
41645,2013
41646,2013
41647,2013
41648,2013
41649,2013
41650,2013
41651,2013
41652,2013
41653,2013
41654,2013
41655,2013
41656,2013
41657,2013
41658,2013
41659,2013
41660,2013
41661,2013
41662,2013
41663,2013
41664,2013
41665,2013
41666,2013
41667,2013
41668,2013
41669,2013
41670,2013
41671,2013
41672,2013
41673,2013
41674,2013
41675,2013
41676,2013
41677,2013
41678,2013
41679,2013
41680,2013
41681,2013
41682,2013
41683,2013
41688,2013
41689,2013
41690,2013
41691,2013
41692,2013
41693,2013
41694,2013
41695,2013
41696,2013
41697,2013
41698,2013
41699,2013
41700,2013
41701,2013
41702,2013
41703,2013
41704,2013
41705,2013
41706,2013
41707,2013
41708,2013
41709,2013
41710,2013
41711,2013
41712,2013
41713,2013
41714,2013
41715,2013
41716,2013
41717,2013
41718,2013
41719,2013
41720,2013
41721,2013
41722,2013
41723,2013
41724,2013
41725,2013
41726,2013
41727,2013
41728,2013
41729,2013
41730,2013
41731,2013
41732,2013
41733,2013
41734,2013
41735,2013
41737,2013
41738,2013
41739,2013
41740,2013
41741,2013
41742,2013
41743,2013
41744,2013
41745,2013
41940,2014
41941,2014
41942,2014
41943,2014
41944,2014
41945,2014
41946,2014
41947,2014
41948,2014
41949,2014
41950,2014
41951,2014
41952,2014
41953,2014
41954,2014
41955,2014
41956,2014
41957,2014
41958,2014
41959,2014
41960,2014
41961,2014
41962,2014
41963,2014
41964,2014
41965,2014
41966,2014
41967,2014
41968,2014
41969,2014
41971,2014
41972,2014
41973,2014
41974,2014
41975,2014
41976,2014
41977,2014
41978,2014
41979,2014
41980,2014
41981,2014
41982,2014
41983,2014
41984,2014
41985,2014
41986,2014
41987,2014
41988,2014
41989,2014
41990,2014
41991,2014
41992,2014
41993,2014
41994,2014
41995,2014
41996,2014
41998,2014
41999,2014
42000,2014
42001,2014
42002,2014
42003,2014
42004,2014
42005,2014
42006,2014
42007,2014
42008,2014
42009,2014
42010,2014
42011,2014
42012,2014
42013,2014
42014,2014
42015,2014
42016,2014
42017,2014
42018,2014
42019,2014
42020,2014
42021,2014
42022,2014
42023,2014
42024,2014
42025,2014
42026,2014
42027,2014
42028,2014
42029,2014
42030,2014
42031,2014
42032,2014
42033,2014
42034,2014
42035,2014
42036,2014
42037,2014
42038,2014
42039,2014
42040,2014
42041,2014
42042,2014
42043,2014
42044,2014
42045,2014
42046,2014
42047,2014
42054,2014
42055,2014
42056,2014
42057,2014
42058,2014
42059,2014
42060,2014
42061,2014
42062,2014
42063,2014
42064,2014
42065,2014
42066,2014
42067,2014
42068,2014
42069,2014
42070,2014
42071,2014
42072,2014
42073,2014
42074,2014
42075,2014
42076,2014
42077,2014
42078,2014
42079,2014
42080,2014
42081,2014
42082,2014
42083,2014
42084,2014
42085,2014
42086,2014
42087,2014
42088,2014
42089,2014
42090,2014
42091,2014
42092,2014
42093,2014
42094,2014
42095,2014
42096,2014
42097,2014
42098,2014
42099,2014
42100,2014
42101,2014
42102,2014
42103,2014
42104,2014
42105,2014
42106,2014
42107,2014
42108,2014
42109,2014
